Prefix,Length,Type,MCNC Entity Name,Entity Type
152.26.88.0,22,LAN,Wake County Public School System,K12 - Public
198.86.244.0,22,LAN,Wake Technical Community College,Community College
198.86.248.0,21,LAN,Wake Technical Community College,Community College
204.84.236.0,23,LAN,Wake Technical Community College,Community College
204.84.243.0,24,LAN,Wake Technical Community College,Community College
204.85.10.0,26,LAN,Warren County Schools,K12 - Public
152.26.242.0,28,Video,Washington County Schools,K12 - Public
198.86.17.176,28,LAN,Washington County Schools,K12 - Public
204.85.8.64,28,LAN,Washington County Schools,K12 - Public
152.26.242.16,28,Video,Washington County Schools,K12 - Public
152.26.234.128,29,LAN,Washington Montessori Public Charter School,K12 - Charter School
152.26.17.0,24,LAN,Watauga County Schools,K12 - Public
152.26.236.80,29,LAN,Water's Edge Village School,K12 - Charter School
152.27.65.240,29,Video,Wayne Community College,Community College
198.86.16.0,24,LAN,Wayne Community College,Community College
152.46.33.192,27,Customer Allocation,Wayne Community College,Community College
152.26.32.0,24,LAN,Wayne County Public Schools,K12 - Public
152.26.233.224,28,LAN,Wayne Preparatory Academy,K12 - Charter School
152.26.7.128,27,LAN,Weldon City Schools,K12 - Public
152.26.241.112,28,Video,Western Piedmont Community College,Community College
198.85.216.0,22,LAN,Western Piedmont Community College,Community College
152.26.66.48,28,LAN,Whiteville City Schools,K12 - Public
67.76.102.144,28,Non-NCREN,Whiteville City Schools,K12 - Public
204.84.96.0,24,LAN,Wilkes Community College,Community College
152.27.66.0,29,Video,Wilkes Community College,Community College
152.26.58.0,24,LAN,Wilkes County Schools,K12 - Public
152.26.236.192,28,LAN,Williams Academy,K12 - Charter School
152.26.235.0,28,LAN,Willow Oak Montessori,K12 - Charter School
152.26.170.64,29,LAN,Wilmington School of the Arts,K12 - Charter School
198.86.62.0,23,LAN,Wilson Community College,Community College
152.27.66.16,29,Video,Wilson Community College,Community College
152.46.27.32,27,Customer Allocation,Wilson Community College,Community College
152.26.63.0,24,LAN,Wilson County School District,K12 - Public
152.26.232.16,28,LAN,Wilson Preparatory Academy,K12 - Charter School
152.22.0.0,23,LAN,Winston-Salem Forsyth County Schools,K12 - Public
152.26.237.0,28,LAN,Woods Charter School,K12 - Charter School
66.226.33.16,28,Non-NCREN,Yadkin County Schools,K12 - Public
152.26.73.128,26,LAN,Yadkin County Schools,K12 - Public
152.26.10.160,27,LAN,Yancey County Schools,K12 - Public
152.26.14.128,26,LAN,Yancey County Schools,K12 - Public
152.26.233.32,28,LAN,ZECA School of Arts and Technology,K12 - Charter School
